Unnamed: 0,narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,grid_location,prior_grid,lhand_vposition,lhand_hposition,rhand_vposition,rhand_hposition,hand_in_use,Unnamed: 22
419,P01_105_19,P01,P01_105,00:27.1,00:27.0,00:27.8,1350,1389,put container into container,put-into,5,container,21,"['container', 'container']","[21, 21]",,,,,,,,
431,P01_105_20,P01,P01_105,00:28.1,00:27.0,00:27.8,1350,1391,put container into cupboard,put-into,5,container,21,"['container', 'cupboard']","[21, 3]",,,,,,,,
442,P01_105_21,P01,P01_105,00:29.9,00:30.0,00:30.3,1501,1517,pick up lid,pick-up,0,lid,6,['lid'],[6],,,,,,,,
453,P01_105_22,P01,P01_105,00:30.6,00:30.6,00:30.8,1529,1542,put down lid,put-down,1,lid,6,['lid'],[6],,,,,,,,
464,P01_105_23,P01,P01_105,00:30.8,00:30.9,00:31.6,1544,1582,pick up lid,pick-up,0,lid,6,['lid'],[6],,,,,,,,
475,P01_105_24,P01,P01_105,00:31.6,00:31.7,00:32.0,1587,1599,put down lid,put-down,1,lid,6,['lid'],[6],,,,,,,,
486,P01_105_25,P01,P01_105,00:32.1,00:32.2,00:32.6,1612,1628,pick up lid,pick-up,0,lid,6,['lid'],[6],,,,,,,,
508,P01_105_27,P01,P01_105,00:33.1,00:32.4,00:33.8,1622,1691,pick up container,pick-up,0,container,21,['container'],[21],,,,,,,,
497,P01_105_26,P01,P01_105,00:32.9,00:32.6,00:32.9,1631,1645,put down lid,put-down,1,lid,6,['lid'],[6],,,,,,,,
519,P01_105_28,P01,P01_105,00:34.4,00:33.9,00:34.7,1694,1734,put container into cupboard,put-into,5,container,21,"['container', 'cupboard']","[21, 3]",,,,,,,,
530,P01_105_29,P01,P01_105,00:34.8,00:34.9,00:35.8,1746,1790,close cupboard,close,4,cupboard,3,['cupboard'],[3],,,,,,,,
542,P01_105_30,P01,P01_105,00:36.6,00:36.6,00:38.0,1828,1900,pick up pot,pick-up,0,pot,29,['pot'],[29],,,,,,,,
553,P01_105_31,P01,P01_105,00:38.4,00:38.0,00:38.7,1897,1936,open steam cooker,open,3,cooker:steam,152,['cooker:steam'],[152],,,,,,,,
564,P01_105_32,P01,P01_105,00:38.9,00:38.7,00:39.6,1936,1978,put pot into steam cooker,put-into,5,pot,29,"['pot', 'cooker:steam']","[29, 152]",,,,,,,,
575,P01_105_33,P01,P01_105,00:39.9,00:39.6,00:40.1,1980,2005,pick up tray,pick-up,0,tray,35,['tray'],[35],,,,,,,,
586,P01_105_34,P01,P01_105,00:40.3,00:40.4,00:40.8,2018,2041,put tray into steam cooker,put-into,5,tray,35,"['tray', 'cooker:steam']","[35, 152]",,,,,,,,
597,P01_105_35,P01,P01_105,00:40.9,00:40.8,00:41.3,2039,2065,close steam cooker,close,4,cooker:steam,152,['cooker:steam'],[152],,,,,,,,
608,P01_105_36,P01,P01_105,00:41.8,00:41.5,00:42.1,2074,2103,pick up fork and cup,pick-up,0,fork,14,"['fork', 'cup']","[14, 13]",,,,,,,,
619,P01_105_37,P01,P01_105,00:45.1,00:45.2,00:45.9,2261,2293,pick up cup,pick-up,0,cup,13,['cup'],[13],,,,,,,,
630,P01_105_38,P01,P01_105,00:45.9,00:45.8,00:46.5,2290,2325,put down cup,put-down,1,cup,13,['cup'],[13],,,,,,,,
641,P01_105_39,P01,P01_105,00:46.8,00:46.3,00:48.1,2316,2404,put down cup,put-down,1,cup,13,['cup'],[13],,,,,,,,
653,P01_105_40,P01,P01_105,00:49.1,00:49.1,00:49.7,2453,2486,open drawer,open,3,drawer,8,['drawer'],[8],,,,,,,,
664,P01_105_41,P01,P01_105,00:49.8,00:50.1,00:50.8,2503,2539,put spoon into drawer,put-into,5,spoon,1,"['spoon', 'drawer']","[1, 8]",,,,,,,,
675,P01_105_42,P01,P01_105,00:50.8,00:50.7,00:51.4,2535,2571,close drawer,close,4,drawer,8,['drawer'],[8],,,,,,,,
686,P01_105_43,P01,P01_105,00:54.1,00:53.7,00:54.8,2684,2741,open cupboard,open,3,cupboard,3,['cupboard'],[3],,,,,,,,
697,P01_105_44,P01,P01_105,00:55.1,00:54.4,00:57.2,2720,2858,pick up cutting board,pick-up,0,board:cutting,18,['board:cutting'],[18],"(1,1)","(3,1)",-1,-1,1,0,right,
708,P01_105_45,P01,P01_105,00:56.4,00:56.1,00:57.1,2804,2856,close cupboard,close,4,cupboard,3,['cupboard'],[3],,,,,,,,
719,P01_105_46,P01,P01_105,00:56.9,00:57.2,00:58.0,2861,2899,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],,,,,,,,
730,P01_105_47,P01,P01_105,00:58.6,00:58.4,00:59.6,2920,2981,open fridge,open,3,fridge,12,['fridge'],[12],,,,,,,,
741,P01_105_48,P01,P01_105,01:00.4,01:00.1,01:01.0,3004,3049,pick up mushrooms,pick-up,0,mushroom,56,['mushroom'],[56],"(0,0)","(1,1)",-1,-1,0,0,right,
752,P01_105_49,P01,P01_105,01:01.4,01:01.0,01:01.7,3049,3085,put down mushrooms,put-down,1,mushroom,56,['mushroom'],[56],,,,,,,,
764,P01_105_50,P01,P01_105,01:03.3,01:03.2,01:03.8,3159,3190,pick up pak choi,pick-up,0,choi:pak,151,['choi:pak'],[151],"(0,0)","(0,0)",-1,-1,0,0,right,
775,P01_105_51,P01,P01_105,01:05.1,01:05.1,01:05.6,3254,3282,put down pak choi,put-down,1,choi:pak,151,['choi:pak'],[151],,,,,,,,
786,P01_105_52,P01,P01_105,01:06.4,01:06.4,01:06.9,3318,3344,move cheese,move,11,cheese,32,['cheese'],[32],,,,,,,,
797,P01_105_53,P01,P01_105,01:07.6,01:07.6,01:07.9,3378,3397,move container,move,11,container,21,['container'],[21],,,,,,,,
808,P01_105_54,P01,P01_105,01:08.1,01:08.3,01:09.4,3412,3468,pick up container,pick-up,0,container,21,['container'],[21],,,,,,,,
819,P01_105_55,P01,P01_105,01:09.6,01:09.7,01:10.3,3486,3516,put down container,put-down,1,container,21,['container'],[21],,,,,,,,
830,P01_105_56,P01,P01_105,01:10.8,01:11.1,01:12.4,3554,3618,pick up tofu,pick-up,0,tofu,81,['tofu'],[81],"(0,0)","(0,0)",-1,-1,0,0,right,
841,P01_105_57,P01,P01_105,01:12.6,01:12.9,01:13.5,3644,3674,put down tofu,put-down,1,tofu,81,['tofu'],[81],,,,,,,,
852,P01_105_58,P01,P01_105,01:14.1,01:14.2,01:14.7,3711,3733,open drawer,open,3,drawer,8,['drawer'],[8],,,,,,,,
863,P01_105_59,P01,P01_105,01:15.4,01:15.3,01:15.9,3764,3795,pick up carrot,pick-up,0,carrot,41,['carrot'],[41],"(0,0)","(0,0)",-1,-1,0,0,right,
875,P01_105_60,P01,P01_105,01:16.4,01:16.7,01:17.1,3834,3854,put down carrot,put-down,1,carrot,41,['carrot'],[41],,,,,,,,
886,P01_105_61,P01,P01_105,01:22.6,01:22.4,01:23.5,4122,4175,pick up courgette,pick-up,0,courgette,76,['courgette'],[76],"(0,0)","(0,0)",-1,-1,0,0,right,
897,P01_105_62,P01,P01_105,01:23.9,01:23.6,01:25.1,4180,4254,put down courgette,put-down,1,courgette,76,['courgette'],[76],,,,,,,,
908,P01_105_63,P01,P01_105,01:25.9,01:25.2,01:26.4,4258,4320,close drawer,close,4,drawer,8,['drawer'],[8],,,,,,,,
919,P01_105_64,P01,P01_105,01:27.1,01:26.3,01:28.3,4317,4415,close fridge,close,4,fridge,12,['fridge'],[12],,,,,,,,
930,P01_105_65,P01,P01_105,01:29.1,01:28.3,01:29.3,4413,4464,pick up pak choi,pick-up,0,choi:pak,151,['choi:pak'],[151],,,,,,,,
941,P01_105_66,P01,P01_105,01:30.6,01:30.1,01:31.2,4507,4559,put down pak choi,put-down,1,choi:pak,151,['choi:pak'],[151],,,,,,,,
952,P01_105_67,P01,P01_105,01:31.1,01:30.6,01:31.6,4529,4579,pick up courgette,pick-up,0,courgette,76,['courgette'],[76],,,,,,,,
963,P01_105_68,P01,P01_105,01:33.1,01:33.2,01:34.2,4660,4709,turn on tap,turn-on,6,tap,0,['tap'],[0],,,,,,,,
974,P01_105_69,P01,P01_105,01:33.9,01:33.7,01:41.6,4685,5079,wash courgette,wash,2,courgette,76,['courgette'],[76],,,,,,,,
986,P01_105_70,P01,P01_105,01:46.4,01:46.0,01:46.8,5300,5337,turn off tap,turn-off,8,tap,0,['tap'],[0],,,,,,,,
997,P01_105_71,P01,P01_105,01:47.1,01:46.8,01:50.6,5342,5529,shake courgette,shake,15,courgette,76,['courgette'],[76],,,,,,,,
1008,P01_105_72,P01,P01_105,01:51.9,01:50.9,01:52.6,5546,5628,put down courgette,put-down,1,courgette,76,['courgette'],[76],,,,,,,,
1019,P01_105_73,P01,P01_105,01:53.1,01:52.4,01:53.8,5620,5691,move kettle,move,11,kettle,44,['kettle'],[44],,,,,,,,
1030,P01_105_74,P01,P01_105,01:55.9,01:53.9,01:57.1,5696,5855,take knife,take,0,knife,4,['knife'],[4],"(3,1)","(2,1)",-1,-1,7,0,right,
1041,P01_105_75,P01,P01_105,01:57.6,01:57.2,01:58.2,5858,5911,grab courgette,grab,0,courgette,76,['courgette'],[76],,,,,,,,
1052,P01_105_76,P01,P01_105,01:58.6,01:58.3,02:02.6,5916,6127,slice courgette,slice,7,courgette,76,['courgette'],[76],"(2,1)",,-1,-1,0,0,right,
1063,P01_105_77,P01,P01_105,02:02.9,02:02.6,02:03.6,6128,6181,put down knife,put-down,1,knife,4,['knife'],[4],,,,,,,,
1074,P01_105_78,P01,P01_105,02:04.1,02:03.9,02:05.6,6194,6280,open cupboard,open,3,cupboard,3,['cupboard'],[3],,,,,,,,
1085,P01_105_79,P01,P01_105,02:06.6,02:05.8,02:09.8,6288,6491,take wok,take,0,wok,5,['wok'],[5],"(1,1)","(1,1)",1,0,-1,-1,left,
1087,P01_105_80,P01,P01_105,02:07.1,02:06.2,02:08.0,6311,6398,take pans,take,0,pan,5,['pan'],[5],,,,,,,,
1088,P01_105_81,P01,P01_105,02:08.1,02:07.9,02:09.2,6393,6460,put down pans,put-down,1,pan,5,['pan'],[5],,,,,,,,
1089,P01_105_82,P01,P01_105,02:09.6,02:09.3,02:10.6,6465,6530,close cupboard,close,4,cupboard,3,['cupboard'],[3],,,,,,,,
1090,P01_105_83,P01,P01_105,02:11.4,02:11.0,02:12.4,6552,6620,close cupboard,close,4,cupboard,3,['cupboard'],[3],,,,,,,,
1091,P01_105_84,P01,P01_105,02:13.1,02:13.1,02:13.5,6652,6675,pick up carrot,pick-up,0,carrot,41,['carrot'],[41],,,,,,,,
1092,P01_105_85,P01,P01_105,02:13.6,02:13.6,02:14.3,6680,6713,put down carrot,put-down,1,carrot,41,['carrot'],[41],,,,,,,,
1093,P01_105_86,P01,P01_105,02:14.1,02:13.9,02:14.6,6696,6728,put down wok,put-down,1,wok,5,['wok'],[5],,,,,,,,
1094,P01_105_87,P01,P01_105,02:14.6,02:14.5,02:15.0,6723,6748,pick up knife,pick-up,0,knife,4,['knife'],[4],,,,,,,,
1095,P01_105_88,P01,P01_105,02:15.1,02:15.1,02:15.5,6755,6775,grab courgette,grab,0,courgette,76,['courgette'],[76],,,,,,,,
1096,P01_105_89,P01,P01_105,02:15.9,02:15.7,02:26.0,6783,7298,slice courgette,slice,7,courgette,76,['courgette'],[76],,,,,,,,
1098,P01_105_90,P01,P01_105,02:43.9,02:43.3,02:49.0,8165,8450,dice courgette,dice,7,courgette,76,['courgette'],[76],,,,,,,,
1099,P01_105_91,P01,P01_105,02:49.1,02:49.0,02:49.5,8449,8477,pick up courgette dice,pick-up,0,dice:courgette,76,['dice:courgette'],[76],,,,,,,,
1100,P01_105_92,P01,P01_105,02:49.9,02:49.7,02:50.2,8482,8512,put courgette dice into wok,put-into,5,dice:courgette,76,"['dice:courgette', 'wok']","[76, 5]",,,,,,,,
1101,P01_105_93,P01,P01_105,02:51.3,02:51.0,02:52.2,8552,8611,move courgette slices,move,11,slice:courgette,76,['slice:courgette'],[76],,,,,,,,
1102,P01_105_94,P01,P01_105,02:52.6,02:52.3,02:55.5,8614,8776,dice courgette,dice,7,courgette,76,['courgette'],[76],,,,,,,,
1103,P01_105_95,P01,P01_105,02:55.1,02:55.3,02:55.8,8763,8791,pick up courgette dice,pick-up,0,dice:courgette,76,['dice:courgette'],[76],,,,,,,,
1104,P01_105_96,P01,P01_105,02:56.1,02:56.2,02:56.6,8810,8828,put courgette dice into wok,put-into,5,dice:courgette,76,"['dice:courgette', 'wok']","[76, 5]",,,,,,,,
1105,P01_105_97,P01,P01_105,02:56.6,02:56.7,03:01.2,8835,9060,move courgette slices,move,11,slice:courgette,76,['slice:courgette'],[76],,,,,,,,
1106,P01_105_98,P01,P01_105,03:02.4,03:01.3,03:04.7,9065,9236,dice courgette,dice,7,courgette,76,['courgette'],[76],,,,,,,,
1107,P01_105_99,P01,P01_105,03:04.6,03:04.8,03:05.1,9241,9256,pick up courgette dice,pick-up,0,dice:courgette,76,['dice:courgette'],[76],,,,,,,,
321,P01_105_100,P01,P01_105,03:05.1,03:05.0,03:05.5,9248,9276,put courgette dice into wok,put-into,5,courgette,76,"['dice:courgette', 'wok']","[76, 5]","(2,1)",,0,0,-1,-1,left,
322,P01_105_101,P01,P01_105,03:05.9,03:07.0,03:07.5,9347,9376,move courgette slices,move,11,courgette,76,['slice:courgette'],[76],"(2,1)","(2,1)",0,0,-1,-1,left,
323,P01_105_102,P01,P01_105,03:07.9,03:07.7,03:10.6,9384,9532,dice courgette,dice,7,courgette,76,['courgette'],[76],"(2,1)","(2,1)",-1,-1,0,0,right,
324,P01_105_103,P01,P01_105,03:10.4,03:10.7,03:11.0,9536,9549,pick up courgette dice,pick-up,0,courgette,76,['dice:courgette'],[76],,,,,,,,
325,P01_105_104,P01,P01_105,03:11.1,03:11.0,03:11.4,9547,9572,put courgette dice into wok,put-into,5,courgette,76,"['dice:courgette', 'wok']","[76, 5]","(2,1)","(2,1)",0,0,-1,-1,left,
326,P01_105_105,P01,P01_105,03:12.4,03:11.7,03:13.5,9584,9673,move courgette slices,move,11,courgette,76,['slice:courgette'],[76],"(2,1)","(2,1)",0,0,-1,-1,left,
327,P01_105_106,P01,P01_105,03:13.4,03:13.5,03:16.5,9673,9827,dice courgette,dice,7,courgette,76,['courgette'],[76],"(2,1)","(2,1)",-1,-1,0,0,right,
329,P01_105_108,P01,P01_105,03:17.1,03:17.1,03:19.5,9857,9973,put courgette dice into wok,put-into,5,courgette,76,"['dice:courgette', 'wok']","[76, 5]","(2,1)","(2,1)",0,0,-1,-1,left,
328,P01_105_107,P01,P01_105,03:16.6,03:17.8,03:18.9,9888,9942,pick up courgette dice,pick-up,0,courgette,76,['dice:courgette'],[76],"(2,1)","(2,1)",0,0,-1,-1,left,
330,P01_105_109,P01,P01_105,03:19.6,03:19.5,03:21.4,9976,10068,move courgette slices,move,11,courgette,76,['slice:courgette'],[76],,,,,,,,
332,P01_105_110,P01,P01_105,03:21.4,03:20.8,03:24.3,10042,10216,dice courgette,dice,7,courgette,76,['courgette'],[76],"(2,1)","(2,1)",-1,-1,0,0,right,
333,P01_105_111,P01,P01_105,03:24.1,03:24.3,03:24.8,10214,10242,pick up courgette dice,pick-up,0,ic:courgette,76,['dice:courgette'],[76],"(2,1)","(2,1)",0,0,-1,-1,left,
334,P01_105_112,P01,P01_105,03:24.8,03:24.5,03:26.2,10227,10311,put courgette dice into wok,put-into,5,courgette,76,"['dice:courgette', 'wok']","[76, 5]","(2,1)","(2,1)",0,0,-1,-1,left,
335,P01_105_113,P01,P01_105,03:26.4,03:26.3,03:28.2,10316,10408,move courgette slices,move,11,courgette,76,['slice:courgette'],[76],,,,,,,,
336,P01_105_114,P01,P01_105,03:28.4,03:28.0,03:31.2,10400,10557,dice courgette,dice,7,courgette,76,['courgette'],[76],"(2,1)","(2,1)",-1,-1,0,0,right,
337,P01_105_115,P01,P01_105,03:31.1,03:31.2,03:31.8,10558,10590,pick up courgette dice,pick-up,0,courgette,76,['dice:courgette'],[76],"(2,1)","(2,1)",0,0,-1,-1,left,
338,P01_105_116,P01,P01_105,03:32.1,03:31.9,03:33.4,10595,10669,put courgette dice into wok,put-into,5,courgette,76,"['dice:courgette', 'wok']","[76, 5]","(2,1)","(2,1)",0,0,-1,-1,left,
339,P01_105_117,P01,P01_105,03:32.4,03:32.8,03:33.4,10641,10671,put down knife,put-down,1,knife,4,['knife'],[4],,,,,,,,
340,P01_105_118,P01,P01_105,03:39.1,03:34.0,03:34.6,10700,10731,take courgette slices,take,0,courgette,76,['slice:courgette'],[76],"(2,1)","(2,1)",0,0,-1,-1,left,
341,P01_105_119,P01,P01_105,03:40.4,03:39.7,03:42.7,10985,11136,pick up courgette bits,pick-up,0,courgette,76,['bit:courgette'],[76],,,,,,,,
343,P01_105_120,P01,P01_105,03:43.4,03:43.2,03:43.6,11159,11182,open food bin,open,3,food,36,['bin:food'],[36],,,,,,,,
344,P01_105_121,P01,P01_105,03:43.9,03:43.7,03:43.9,11183,11195,throw courgette bits into food bin,throw-into,13,courgette,76,"['bit:courgette', 'bin:food']","[76, 36]",,,,,,,,
345,P01_105_122,P01,P01_105,03:44.1,03:43.9,03:44.1,11195,11206,close food bin,close,4,food,36,['bin:food'],[36],,,,,,,,
346,P01_105_123,P01,P01_105,03:47.1,03:47.1,03:48.3,11355,11417,stir courgette,stir,10,courgette,76,['courgette'],[76],"(2,1)","(3,1)",,,,,,
347,P01_105_124,P01,P01_105,03:48.9,03:48.5,03:49.3,11423,11465,pick up carrot,pick-up,0,carrot,41,['carrot'],[41],,,,,,,,
348,P01_105_125,P01,P01_105,03:49.9,03:49.6,03:50.3,11482,11514,open drawer,open,3,drawer,8,['drawer'],[8],,,,,,,,
349,P01_105_126,P01,P01_105,03:50.6,03:50.5,03:51.2,11525,11558,pick up peeler,pick-up,0,peeler,87,['peeler'],[87],"(2,1)","(2,1)",0,0,0,0,right,
350,P01_105_127,P01,P01_105,03:51.1,03:51.1,03:51.8,11555,11590,close drawer,close,4,drawer,8,['drawer'],[8],,,,,,,,
351,P01_105_128,P01,P01_105,03:52.1,03:52.4,04:11.7,11619,12586,peel carrot,peel,19,carrot,41,['carrot'],[41],"(2,1)","(2,1)",-1,-1,0,0,right,
352,P01_105_129,P01,P01_105,04:12.1,04:11.8,04:12.6,12591,12631,put down peeler,put-down,1,peeler,87,['peeler'],[87],,,,,,,,
354,P01_105_130,P01,P01_105,04:12.6,04:12.9,04:13.5,12647,12676,pick up knife,pick-up,0,knife,4,['knife'],[4],,,,,,,,
355,P01_105_131,P01,P01_105,04:13.4,04:13.3,04:13.8,12664,12690,put down knife and carrot,put-down,1,knife,4,"['knife', 'carrot']","[4, 41]",,,,,,,,
356,P01_105_132,P01,P01_105,04:14.9,04:14.7,04:15.8,12733,12789,pick up wok,pick-up,0,wok,5,['wok'],[5],"(2,1)","(2,1)",-1,-1,0,0,right,
357,P01_105_133,P01,P01_105,04:16.4,04:15.9,04:17.9,12794,12896,put down wok,put-down,1,wok,5,['wok'],[5],"(2,1)","(2,1)",-1,-1,0,0,right,
358,P01_105_134,P01,P01_105,04:18.1,04:18.0,04:18.9,12901,12946,turn on light,turn-on,6,light,114,['light'],[114],,,,,,,,
359,P01_105_135,P01,P01_105,04:20.9,04:20.7,04:21.9,13034,13094,pick up oil,pick-up,0,oil,31,['oil'],[31],"(1,1)","(2,1)",-1,-1,7,0,right,
360,P01_105_136,P01,P01_105,04:22.6,04:22.5,04:23.2,13124,13161,open bottle,open,3,bottle,15,['bottle'],[15],,,,,,,,
361,P01_105_137,P01,P01_105,04:23.6,04:23.1,04:26.7,13154,13335,pour oil,pour,9,oil,31,['oil'],[31],"(2,1)","(1,1)",-1,-1,0,0,right,
362,P01_105_138,P01,P01_105,04:27.4,04:27.1,04:28.6,13354,13432,close bottle,close,4,bottle,15,['bottle'],[15],,,,,,,,
363,P01_105_139,P01,P01_105,04:31.4,04:30.4,04:32.5,13518,13623,put down oil,put-down,1,oil,31,['oil'],[31],,,,,,,,
365,P01_105_140,P01,P01_105,04:33.1,04:32.8,04:35.5,13637,13775,turn on hob,turn-on,6,hob,24,['hob'],[24],"(2,1)",,0,0,0,0,both,
366,P01_105_141,P01,P01_105,04:36.4,04:36.2,04:37.1,13807,13854,pick up salt,pick-up,0,salt,38,['salt'],[38],,,,,,,,
367,P01_105_142,P01,P01_105,04:37.6,04:37.0,04:38.3,13847,13914,open jar,open,3,jar,40,['jar'],[40],,,,,,,,
368,P01_105_143,P01,P01_105,04:38.1,04:38.3,04:38.7,13915,13935,put down lid,put-down,1,lid,6,['lid'],[6],,,,,,,,
369,P01_105_144,P01,P01_105,04:39.6,04:39.4,04:43.8,13970,14192,grind salt,grind,49,salt,38,['salt'],[38],"(2,1)","(2,1)",0,0,0,0,both,
370,P01_105_145,P01,P01_105,04:44.6,04:44.6,04:44.9,14228,14245,pick up lid,pick-up,0,lid,6,['lid'],[6],,,,,,,,
371,P01_105_146,P01,P01_105,04:45.1,04:45.0,04:46.2,14247,14312,close jar,close,4,jar,40,['jar'],[40],,,,,,,,
372,P01_105_147,P01,P01_105,04:46.3,04:45.9,04:47.0,14294,14350,put down salt,put-down,1,salt,38,['salt'],[38],,,,,,,,
373,P01_105_148,P01,P01_105,04:48.1,04:48.1,04:48.7,14407,14433,pick up carrot,pick-up,0,carrot,41,['carrot'],[41],,,,,,,,
374,P01_105_149,P01,P01_105,04:48.6,04:48.5,04:49.0,14425,14452,pick up knife,pick-up,0,knife,4,['knife'],[4],,,,,,,,
376,P01_105_150,P01,P01_105,04:49.4,04:49.3,04:57.1,14465,14855,slice carrots,slice,7,carrot,41,['carrot'],[41],"(2,1)","(2,1)",-1,-1,0,0,right,
377,P01_105_151,P01,P01_105,04:58.4,04:57.8,05:01.8,14890,15088,move carrot slices,move,11,carrot,41,['slice:carrot'],[41],,,,,,,,
378,P01_105_152,P01,P01_105,05:01.9,05:01.8,05:36.0,15088,16801,dice carrot,dice,7,carrot,41,['carrot'],[41],"(2,1)","(2,1)",-1,-1,0,0,right,
379,P01_105_153,P01,P01_105,05:36.1,05:36.1,05:37.6,16806,16881,take carrot bits off knife,take-off,12,carrot,41,"['bit:carrot', 'knife']","[41, 4]",,,,,,,,
380,P01_105_154,P01,P01_105,05:37.9,05:37.5,05:38.9,16876,16945,take carrot bits off hand,take-off,12,carrot,41,"['bit:carrot', 'hand']","[41, 11]",,,,,,,,
381,P01_105_155,P01,P01_105,05:38.9,05:38.6,05:39.3,16931,16964,put down knife,put-down,1,knife,4,['knife'],[4],,,,,,,,
382,P01_105_156,P01,P01_105,05:40.4,05:39.9,05:42.3,16993,17114,close door,close,4,door,3,['door'],[3],,,,,,,,
383,P01_105_157,P01,P01_105,05:43.6,05:43.8,05:44.2,17188,17210,pick up knife,pick-up,0,knife,4,['knife'],[4],,,,,,,,
384,P01_105_158,P01,P01_105,05:44.1,05:44.0,05:46.1,17200,17306,pick up cutting board,pick-up,0,board:cutting,18,['board:cutting'],[18],,,,,,,,
385,P01_105_159,P01,P01_105,05:45.9,05:46.2,05:48.7,17312,17435,move carrot into wok,move-into,11,carrot,41,"['carrot', 'wok']","[41, 5]","(2,1)","(2,1)",-1,-1,0,0,right,
387,P01_105_160,P01,P01_105,05:50.1,05:49.4,05:51.1,17470,17553,put down cutting board and knife,put-down,1,board:cutting,18,"['board:cutting', 'knife']","[18, 4]",,,,,,,,
388,P01_105_161,P01,P01_105,05:52.1,05:51.9,05:54.5,17594,17725,adjust hob,adjust,17,hob,24,['hob'],[24],"(2,1)","(2,1)",-1,-1,0,0,right,
389,P01_105_162,P01,P01_105,05:55.4,05:55.2,05:55.9,17757,17792,move peeler,move,11,peeler,87,['peeler'],[87],,,,,,,,
390,P01_105_163,P01,P01_105,05:56.6,05:55.9,06:00.4,17795,18020,take carrot skin,take,0,skin:carrot,48,['skin:carrot'],[48],,,,,,,,
391,P01_105_164,P01,P01_105,06:01.4,06:00.5,06:02.5,18025,18125,take carrot skin,take,0,skin:carrot,48,['skin:carrot'],[48],,,,,,,,
392,P01_105_165,P01,P01_105,06:03.4,06:03.4,06:04.0,18168,18201,open food bin,open,3,bin:food,36,['bin:food'],[36],,,,,,,,
393,P01_105_166,P01,P01_105,06:04.1,06:04.3,06:04.7,18213,18233,throw carrot skin into bin,throw-into,13,skin:carrot,48,"['skin:carrot', 'bin']","[48, 36]",,,,,,,,
394,P01_105_167,P01,P01_105,06:05.1,06:04.9,06:05.1,18243,18257,close food bin,close,4,bin:food,36,['bin:food'],[36],,,,,,,,
