,from_node,to_node,obj_at_once,dist,weight_new
126,tns,tnsc,1,6.324555320336759,7.58946638440411
127,tns,tnspc,2,6.324555320336759,6.297765545913282
128,tnp,tnsp,1,6.324555320336759,7.58946638440411
129,tnp,tnpc,1,6.324555320336759,7.58946638440411
130,tnp,tnspc,2,8.32455532033676,11.987359661284934
131,tnc,tnsc,1,6.324555320336759,7.58946638440411
132,tnc,tnpc,1,6.324555320336759,5.248137954927735
133,tnc,tnspc,2,8.32455532033676,7.565107049751749
134,tsp,tnsp,1,7.211102550927978,4.400492183118507
135,tsp,tspc,1,6.324555320336759,7.58946638440411
136,tsp,tnspc,2,9.76782893563237,6.630248102811382
137,tsc,tnsc,1,7.211102550927978,4.400492183118507
138,tsc,tspc,1,6.324555320336759,5.248137954927735
139,tsc,tnspc,2,9.76782893563237,4.710424781646018
140,tpc,tnpc,1,7.211102550927978,4.400492183118507
141,tpc,tspc,1,6.324555320336759,7.58946638440411
142,tpc,tnspc,2,7.7678289356323695,5.583493125008668
143,nsp,tnsp,1,7.211102550927978,3.986586302851176
144,nsp,nspc,1,6.324555320336759,7.58946638440411
145,nsp,tnspc,2,9.76782893563237,5.91615954892993
146,nsc,tnsc,1,7.211102550927978,3.986586302851176
147,nsc,nspc,1,6.324555320336759,5.248137954927735
148,nsc,tnspc,2,9.76782893563237,4.2999969878134925
149,npc,tnpc,1,7.211102550927978,3.986586302851176
150,npc,nspc,1,6.324555320336759,7.58946638440411
151,npc,tnspc,2,7.7678289356323695,5.039541235028691
152,spc,tspc,1,7.211102550927978,3.986586302851176
153,spc,nspc,1,7.211102550927978,4.400492183118507
154,spc,tnspc,2,7.211102550927978,2.8213104515093725
155,tnsp,tnspc,1,6.324555320336759,7.58946638440411
156,tnsc,tnspc,1,6.324555320336759,5.248137954927735
157,tnpc,tnspc,1,6.324555320336759,7.58946638440411
158,tspc,tnspc,1,7.211102550927978,4.400492183118507
159,nspc,tnspc,1,7.211102550927978,3.986586302851176
