,uid,participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,grid_location,prior_grid,lhand_vposition ,lhand_hposition ,rhand_vposition ,rhand_hposition ,hand in use ,Unnamed: 21
16,16,P01,P01_01,close cupboard,00:47.7,00:48.8,2865,2925,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
17,17,P01,P01_01,open drawer,00:51.7,00:53.0,3099,3180,open,2,drawer,9,['drawer'],[9],,,,,,,,
18,18,P01,P01_01,take knife,00:53.5,00:56.0,3210,3360,take,0,knife,5,['knife'],[5],"(3,1)","(5,1)",1,0,1,0,right,
19,19,P01,P01_01,take knife,00:53.5,00:54.4,3213,3261,take,0,knife,5,['knife'],[5],"(3,1)","(3,1)",1,0,1,0,right,
20,20,P01,P01_01,put down knife,00:54.7,00:55.7,3283,3344,put-down,1,knife,5,['knife'],[5],,,,,,,,
21,21,P01,P01_01,close drawer,00:56.1,00:56.6,3366,3396,close,3,drawer,9,['drawer'],[9],,,,,,,,
22,22,P01,P01_01,put down knife,00:57.5,00:58.7,3447,3522,put-down,1,knife,5,['knife'],[5],,,,,,,,
23,23,P01,P01_01,open tap,00:59.1,01:02.3,3543,3738,open,2,tap,3,['tap'],[3],,,,,,,,
24,24,P01,P01_01,wash courgette,01:01.9,01:05.2,3711,3913,wash,4,courgette,69,['courgette'],[69],"(5,1)","(3,1)",0,0,0,0,both,
25,25,P01,P01_01,still washing courgette,01:05.2,01:13.1,3912,4387,wash,4,courgette,69,['courgette'],[69],"(5,1)","(5,1)",0,0,0,0,both,
26,26,P01,P01_01,wash carrot,01:14.3,01:18.9,4457,4733,wash,4,carrot,40,['carrot'],[40],"(5,1)","(5,1)",0,0,0,0,both,
27,27,P01,P01_01,still washing carrot,01:19.0,01:22.8,4739,4967,wash,4,carrot,40,['carrot'],[40],"(5,1)","(5,1)",0,0,0,0,both,
28,28,P01,P01_01,close tap,01:22.2,01:23.2,4931,4991,close,3,tap,3,['tap'],[3],,,,,,,,
29,29,P01,P01_01,put down vegetables,01:25.5,01:26.5,5129,5189,put-down,1,vegetable,90,['vegetable'],[90],,,,,,,,
30,30,P01,P01_01,open cupboard,01:27.4,01:28.3,5245,5297,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
31,31,P01,P01_01,take grater,01:32.5,01:34.1,5551,5645,take,0,grater,131,['grater'],[131],"(5,1)","(5,1)",0,0,0,0,both,
32,32,P01,P01_01,take pan,01:35.3,01:39.6,5716,5973,take,0,pan,1,['pan'],[1],"(5,1)","(5,1)",0,0,0,0,both,
33,33,P01,P01_01,put down pan,01:40.7,01:42.3,6044,6135,put-down,1,pan,1,['pan'],[1],,,,,,,,
34,34,P01,P01_01,close cupboard,01:41.7,01:42.4,6099,6144,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
35,35,P01,P01_01,close cupboard,01:43.0,01:43.8,6181,6226,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
36,36,P01,P01_01,take courgette,01:44.1,01:45.2,6246,6313,take,0,courgette,69,['courgette'],[69],,,,,,,,
37,37,P01,P01_01,cut courgette,01:45.7,02:02.0,6341,7321,cut,5,courgette,69,['courgette'],[69],"(5,1)","(5,1)",0,0,0,0,both,
38,38,P01,P01_01,turn on hob,02:02.1,02:07.0,7327,7618,turn-on,12,hob,47,['hob'],[47],"(4,1)","(5,1)",0,7,0,0,left,
39,39,P01,P01_01,cut courgette,02:07.8,02:24.9,7668,8693,cut,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
40,40,P01,P01_01,still cutting courgette,02:11.0,02:25.8,7859,8747,cut,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
41,41,P01,P01_01,dicing courgette,02:30.5,02:45.7,9031,9939,dice,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
42,42,P01,P01_01,still dicing courgette,02:45.8,03:00.3,9945,10816,dice,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
43,43,P01,P01_01,still dicing courgette,03:00.4,03:13.9,10822,11634,dice,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
44,44,P01,P01_01,still dicing courgette,03:59.0,04:08.8,14342,14928,dice,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
45,45,P01,P01_01,pour courgette onto pan,04:10.1,04:17.9,15003,15472,pour,7,courgette,69,"['courgette', 'pan']","[69, 1]","(4,1)","(5,1)",0,0,0,0,both,
46,46,P01,P01_01,throw courgette into rubbish bin,04:21.7,04:24.6,15701,15878,throw,8,courgette,69,"['courgette', 'bin:rubbish']","[69, 25]",,,,,,,,
47,47,P01,P01_01,open drawer,04:25.1,04:26.4,15903,15986,open,2,drawer,9,['drawer'],[9],,,,,,,,
48,48,P01,P01_01,close drawer,04:28.6,04:29.2,16114,16154,close,3,drawer,9,['drawer'],[9],,,,,,,,
49,49,P01,P01_01,take spatula,04:30.4,04:32.2,16225,16329,take,0,spatula,22,['spatula'],[22],,,,,,,,
50,50,P01,P01_01,stir courgette,04:32.1,04:37.9,16324,16671,stir,6,courgette,69,['courgette'],[69],"(4,1)",,0,0,0,0,both,
51,51,P01,P01_01,take salt,04:39.6,04:41.3,16776,16881,take,0,salt,31,['salt'],[31],"(4,1)","(4,1)",0,0,0,0,right,
52,52,P01,P01_01,open salt,04:41.4,04:42.9,16887,16975,open,2,salt,31,['salt'],[31],"(4,1)","(4,1)",0,1,0,0,both,
53,53,P01,P01_01,pour salt onto pan,04:42.8,04:45.1,16968,17103,pour,7,salt,31,"['salt', 'pan']","[31, 1]","(4,1)","(4,1)",0,0,0,0,right,
54,54,P01,P01_01,put down salt,04:45.1,04:46.8,17109,17207,put-down,1,salt,31,['salt'],[31],"(4,1)","(4,1)",0,0,0,0,right,
55,55,P01,P01_01,stir courgette,04:47.9,04:54.2,17271,17655,stir,6,courgette,69,['courgette'],[69],"(4,1)","(4,1)",-1,-1,0,0,right,
56,56,P01,P01_01,put down spatula,04:54.4,04:55.6,17661,17736,put-down,1,spatula,22,['spatula'],[22],,,,,,,,
57,57,P01,P01_01,take celery,04:55.7,04:59.7,17742,17982,take,0,celery,185,['celery'],[185],"(5,1)","(4,1)",0,0,0,0,both,
58,58,P01,P01_01,still washing celery,05:01.2,05:15.5,18075,18930,wash,4,celery,185,['celery'],[185],"(5,1)","(5,1)",0,0,0,0,both,
59,59,P01,P01_01,open tap,05:01.3,05:03.5,18078,18207,open,2,tap,3,['tap'],[3],,,,,,,,
60,60,P01,P01_01,wash celery,05:03.6,05:15.5,18213,18929,wash,4,celery,185,['celery'],[185],"(5,1)","(5,1)",0,0,0,0,both,
61,61,P01,P01_01,close tap,05:15.0,05:15.9,18901,18956,close,3,tap,3,['tap'],[3],,,,,,,,
62,62,P01,P01_01,put down celery,05:18.2,05:20.0,19095,19200,put-down,1,celery,185,['celery'],[185],,,,,,,,
63,63,P01,P01_01,cut celery,05:22.8,05:28.2,19366,19690,cut,5,celery,185,['celery'],[185],"(5,1)","(5,1)",0,0,0,0,both,
64,64,P01,P01_01,still cutting celery,05:28.3,05:38.1,19696,20284,cut,5,celery,185,['celery'],[185],"(5,1)","(5,1)",0,0,0,0,both,
65,65,P01,P01_01,pour celery onto pan,05:41.6,05:46.2,20498,20772,pour,7,celery,185,"['celery', 'pan']","[185, 1]","(5,1)","(5,1)",0,0,0,0,both,
66,66,P01,P01_01,put down cutting board and knife,05:46.0,05:47.7,20760,20860,put-down,1,board:cutting,19,"['board:cutting', 'knife']","[19, 5]",,,,,,,,
67,67,P01,P01_01,take celery,05:47.3,05:53.8,20839,21227,take,0,celery,185,['celery'],[185],"(5,1)","(5,1)",-1,-1,0,2,right,
68,68,P01,P01_01,throw things into garbage bin,05:54.1,05:58.4,21245,21506,throw,8,celery,185,['celery'],"[185, 25]",,,,,,,,
69,69,P01,P01_01,open fridge,06:00.2,06:01.8,21612,21710,open,2,fridge,10,['fridge'],[10],"(0,3)","(5,1)",-1,-1,0,0,right,
70,70,P01,P01_01,put celery back into fridge,06:00.8,06:03.1,21645,21784,put,1,celery,185,"['celery', 'fridge']","[185, 10]","(0,3)","(0,3)",0,0,-1,-1,left,
71,71,P01,P01_01,close fridge,06:03.1,06:04.2,21784,21849,close,3,fridge,10,['fridge'],[10],"(0,3)","(5,1)",-1,-1,0,0,right,
72,72,P01,P01_01,take spatula,06:07.3,06:08.3,22040,22100,take,0,spatula,22,['spatula'],[22],,,,,,,,
73,73,P01,P01_01,stir something,06:08.4,06:18.0,22102,22681,stir,6,spatula,22,['spatula'],[22],"(4,1)",,-1,-1,0,0,right,
74,74,P01,P01_01,put down spatula,06:17.8,06:19.3,22669,22758,put-down,1,spatula,22,['spatula'],[22],,,,,,,,
75,75,P01,P01_01,open container,06:19.3,06:21.2,22755,22872,open,2,container,29,['container'],[29],,,,,,,,
76,76,P01,P01_01,take onion,06:21.5,06:24.9,22891,23091,take,0,onion,13,['onion'],[13],"(5,1)","(4,1)",0,0,0,0,both,
77,77,P01,P01_01,take onion,06:24.0,06:24.8,23040,23085,take,0,onion,13,['onion'],[13],"(5,1)","(5,1)",0,0,0,0,both,
78,78,P01,P01_01,put down onion,06:24.9,06:25.6,23091,23134,put-down,1,onion,13,['onion'],[13],"(5,1)","(5,1)",0,0,0,0,both,
79,79,P01,P01_01,close container,06:25.5,06:28.4,23128,23302,close,3,container,29,['container'],[29],,,,,,,,
80,80,P01,P01_01,take spatula,06:30.5,06:31.3,23431,23476,take,0,spatula,22,['spatula'],[22],,,,,,,,
81,81,P01,P01_01,take knife,06:30.9,06:32.1,23457,23527,take,0,knife,5,['knife'],[5],,,,,,,,
82,82,P01,P01_01,cut onion,06:32.6,06:38.7,23555,23925,cut,5,onion,13,['onion'],[13],"(5,1)","(5,1)",0,0,0,0,both,
83,83,P01,P01_01,still cutting onion,06:35.4,06:47.0,23724,24421,cut,5,onion,13,['onion'],[13],"(5,1)","(5,1)",0,0,0,0,both,
84,84,P01,P01_01,still cutting onion,06:48.4,07:02.2,24503,25330,cut,5,onion,13,['onion'],[13],,,,,,,,
85,85,P01,P01_01,put down knife,07:04.7,07:06.4,25481,25585,put-down,1,knife,5,['knife'],[5],,,,,,,,
86,86,P01,P01_01,take kettle,07:07.0,07:09.4,25617,25761,take,0,kettle,38,['kettle'],[38],,,,,,,,
87,87,P01,P01_01,open tap,07:09.7,07:13.8,25784,26028,open,2,tap,3,['tap'],[3],,,,,,,,
88,88,P01,P01_01,pour water into kettle,07:09.9,07:17.8,25794,26266,pour,7,water,17,"['water', 'kettle']","[17, 38]",,,,,,,,
89,89,P01,P01_01,still pouring water,07:17.0,07:23.2,26220,26589,pour,7,water,17,['water'],[17],,,,,,,,
90,90,P01,P01_01,close tap,07:21.5,07:22.3,26490,26535,close,3,tap,3,['tap'],[3],,,,,,,,
91,91,P01,P01_01,turn kettle on,07:25.1,07:27.1,26706,26827,turn,13,kettle,38,['kettle'],[38],,,,,,,,
92,92,P01,P01_01,take spatula,07:30.1,07:30.8,27004,27048,take,0,spatula,22,['spatula'],[22],,,,,,,,
93,93,P01,P01_01,stir vegetables,07:30.6,07:38.3,27033,27498,stir,6,vegetable,90,['vegetable'],[90],"(4,1)",,-1,-1,0,0,right,
94,94,P01,P01_01,still stirring vegetables,07:35.6,07:44.7,27334,27884,stir,6,vegetable,90,['vegetable'],[90],"(4,1)","(4,1)",-1,-1,0,0,right,
95,95,P01,P01_01,take glass,07:47.5,07:48.5,28050,28113,take,0,glass,16,['glass'],[16],,,,,,,,
96,96,P01,P01_01,take glass,07:49.1,07:50.3,28148,28219,take,0,glass,16,['glass'],[16],,,,,,,,
97,97,P01,P01_01,open cupboard,07:51.5,07:52.7,28287,28362,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
98,98,P01,P01_01,put glass into cupboard,07:54.2,07:57.2,28450,28633,put,1,glass,16,"['glass', 'cupboard']","[16, 8]",,,,,,,,
99,99,P01,P01_01,close cupboard,07:56.7,07:59.3,28604,28759,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
100,100,P01,P01_01,take cup,07:59.8,08:00.9,28785,28852,take,0,cup,23,['cup'],[23],,,,,,,,
101,101,P01,P01_01,open cupboard,08:01.5,08:02.2,28888,28932,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
102,102,P01,P01_01,put cup into cupboard,08:02.1,08:03.0,28927,28980,put,1,cup,23,"['cup', 'cupboard']","[23, 8]",,,,,,,,
103,103,P01,P01_01,take container and lid,08:05.2,08:07.2,29113,29232,take,0,container,29,"['container', 'lid']","[29, 11]",,,,,,,,
104,104,P01,P01_01,put container on top of counter,08:08.4,08:09.1,29302,29347,put,1,container,29,"['container', 'top', 'counter']","[29, 78, 78]",,,,,,,,
105,105,P01,P01_01,open container,08:12.0,08:12.7,29520,29564,open,2,container,29,['container'],[29],,,,,,,,
106,106,P01,P01_01,put container inside container,08:13.2,08:14.4,29593,29662,put,1,container,29,"['container', 'container']","[29, 29]",,,,,,,,
107,107,P01,P01_01,close lid,08:15.8,08:17.0,29748,29819,close,3,lid,11,['lid'],[11],,,,,,,,
108,108,P01,P01_01,put container in cupboard,08:19.6,08:20.6,29978,30036,put,1,container,29,"['container', 'cupboard']","[29, 8]",,,,,,,,
109,109,P01,P01_01,take plate,08:22.4,08:23.3,30141,30198,take,0,plate,4,['plate'],[4],,,,,,,,
110,110,P01,P01_01,put plate down,08:24.7,08:27.9,30279,30475,put,1,plate,4,['plate'],[4],,,,,,,,
111,111,P01,P01_01,open drawer,08:28.2,08:29.9,30489,30596,open,2,drawer,9,['drawer'],[9],,,,,,,,
112,112,P01,P01_01,take something,08:29.3,08:31.5,30557,30692,take,0,drawer,9,['drawer'],[9],,,,,,,,
113,113,P01,P01_01,put down something,08:32.7,08:34.4,30759,30865,put-down,1,drawer,9,['drawer'],[9],,,,,,,,
114,114,P01,P01_01,open drawer,08:36.8,08:38.1,31008,31082,open,2,drawer,9,['drawer'],[9],,,,,,,,
115,115,P01,P01_01,take fork,08:37.9,08:39.1,31072,31147,take,0,fork,18,['fork'],[18],,,,,,,,
116,116,P01,P01_01,put down fork,08:39.3,08:40.3,31160,31215,put-down,1,fork,18,['fork'],[18],,,,,,,,
117,117,P01,P01_01,take spatula,08:41.2,08:42.1,31271,31324,take,0,spatula,22,['spatula'],[22],,,,,,,,
118,118,P01,P01_01,stir vegetables,08:41.9,08:48.6,31315,31713,stir,6,vegetable,90,['vegetable'],[90],"(4,1)",,-1,-1,0,0,right,
119,120,P01,P01_01,take container,09:02.0,09:03.0,32522,32578,take,0,container,29,['container'],[29],,,,,,,,
120,121,P01,P01_01,open fridge,09:06.4,09:07.4,32783,32845,open,2,fridge,10,['fridge'],[10],,,,,,,,
121,122,P01,P01_01,put container into fridge,09:07.4,09:09.0,32844,32940,put,1,container,29,"['container', 'fridge']","[29, 10]",,,,,,,,
122,123,P01,P01_01,close fridge,09:09.3,09:10.0,32956,33001,close,3,fridge,10,['fridge'],[10],,,,,,,,
123,124,P01,P01_01,take spatula,09:13.4,09:14.5,33204,33269,take,0,spatula,22,['spatula'],[22],,,,,,,,
124,125,P01,P01_01,stir vegetables,09:14.7,09:18.5,33279,33510,stir,6,vegetable,90,['vegetable'],[90],"(4,1)",,-1,-1,0,0,right,
125,126,P01,P01_01,take grater,09:21.1,09:22.3,33667,33739,take,0,grater,131,['grater'],[131],,,,,,,,
126,127,P01,P01_01,take grater,09:21.1,09:22.5,33667,33751,take,0,grater,131,['grater'],[131],,,,,,,,
127,128,P01,P01_01,take carrots,09:22.1,09:22.8,33724,33768,take,0,carrot,40,['carrot'],[40],"(5,1)",,0,0,0,0,right,
128,129,P01,P01_01,cut carrots,09:24.2,09:28.8,33855,34130,cut,5,carrot,40,['carrot'],[40],"(5,1)","(5,1)",0,0,0,0,both,
129,130,P01,P01_01,drop grater,09:29.2,09:31.0,34150,34261,drop,61,grater,131,['grater'],[131],,,,,,,,
130,131,P01,P01_01,grate carrots,09:34.4,09:46.9,34465,35215,grate,37,carrot,40,['carrot'],[40],"(4,1)","(5,1)",0,0,0,0,both,
131,132,P01,P01_01,still grating carrots,09:47.0,09:55.6,35221,35734,grate,37,carrot,40,['carrot'],[40],"(4,1)","(4,1)",0,0,0,0,both,
132,133,P01,P01_01,still grating carrot,09:50.3,10:00.7,35417,36043,grate,37,carrot,40,['carrot'],[40],"(4,1)","(4,1)",0,0,0,0,both,
133,134,P01,P01_01,still grating carrot,10:02.2,10:39.0,36131,38339,grate,37,carrot,40,['carrot'],[40],"(4,1)","(4,1)",0,0,0,0,both,
134,135,P01,P01_01,put down grater,10:39.5,10:40.3,38370,38416,put-down,1,grater,131,['grater'],[131],,,,,,,,
135,136,P01,P01_01,throw carrot into bin,10:41.8,10:42.8,38508,38569,throw,8,carrot,40,"['carrot', 'bin']","[40, 25]",,,,,,,,
136,137,P01,P01_01,take grater,10:44.5,10:45.3,38669,38719,take,0,grater,131,['grater'],[131],,,,,,,,
137,138,P01,P01_01,put down grater,10:49.7,10:50.8,38980,39046,put-down,1,grater,131,['grater'],[131],,,,,,,,
138,139,P01,P01_01,throw carrot into bin,10:52.8,10:53.8,39166,39229,throw,8,carrot,40,"['carrot', 'bin']","[40, 25]",,,,,,,,
139,140,P01,P01_01,take spatula,10:54.7,10:55.7,39285,39345,take,0,spatula,22,['spatula'],[22],,,,,,,,
140,141,P01,P01_01,stir vegetables,10:55.7,11:01.0,39343,39657,stir,6,vegetable,90,['vegetable'],[90],"(4,1)",,-1,-1,0,0,right,
141,142,P01,P01_01,open cupboard,11:02.6,11:03.5,39753,39813,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
142,143,P01,P01_01,take saucepan,11:03.5,11:05.3,39813,39918,take,0,saucepan,1,['saucepan'],[1],,,,,,,,
143,144,P01,P01_01,put down saucepan,11:07.3,11:14.2,40038,40449,put-down,1,saucepan,1,['saucepan'],[1],,,,,,,,
144,145,P01,P01_01,turn hob,11:15.0,11:17.0,40500,40619,turn,13,hob,47,['hob'],[47],,,,,,,,
145,146,P01,P01_01,take kettle,11:19.5,11:22.3,40770,40937,take,0,kettle,38,['kettle'],[38],,,,,,,,
146,147,P01,P01_01,pour water into saucepan,11:23.4,11:37.4,41004,41841,pour,7,water,17,"['water', 'saucepan']","[17, 1]","(4,1)",,-1,-1,0,0,right,
147,148,P01,P01_01,see boiling water,11:26.6,11:31.6,41193,41493,see,50,water:boiling,17,['water:boiling'],[17],,,,,,,,
148,149,P01,P01_01,put down kettle,11:39.1,11:41.9,41944,42114,put-down,1,kettle,38,['kettle'],[38],,,,,,,,
149,150,P01,P01_01,take olive oil,11:43.9,11:45.4,42231,42324,take,0,oil:olive,24,['oil:olive'],[24],"(5,1)",,-1,-1,0,0,right,
150,151,P01,P01_01,pour oil,11:47.9,11:53.1,42472,42784,pour,7,oil,24,['oil'],[24],"(5,1)","(5,1)",0,0,-1,-1,left,
151,152,P01,P01_01,close oil,11:53.1,11:56.4,42788,42983,close,3,oil,24,['oil'],[24],"(5,1)","(5,1)",0,0,0,0,both,
152,153,P01,P01_01,put down oil,11:56.5,11:57.8,42989,43069,put-down,1,oil,24,['oil'],[24],"(5,1)","(5,1)",-1,-1,0,0,right,
153,154,P01,P01_01,take spatula,11:57.9,11:58.8,43075,43128,take,0,spatula,22,['spatula'],[22],,,,,,,,
154,155,P01,P01_01,take cutting board with onion,11:59.0,12:00.0,43141,43202,take,0,board:cutting,19,"['board:cutting', 'onion']","[19, 13]",,,,,,,,
155,156,P01,P01_01,pouring onion,12:00.4,12:02.4,43227,43342,pour,7,onion,13,['onion'],[13],"(5,1)","(5,1)",0,0,0,0,both,
156,157,P01,P01_01,put down cutting board,12:02.5,12:03.6,43347,43413,put-down,1,board:cutting,19,['board:cutting'],[19],,,,,,,,
157,158,P01,P01_01,stir vegetables,12:03.7,12:11.5,43422,43888,stir,6,vegetable,90,['vegetable'],[90],"(4,1)","(5,1)",-1,-1,0,0,right,
158,159,P01,P01_01,still stirring vegetables,12:10.4,12:30.1,43822,45004,stir,6,vegetable,90,['vegetable'],[90],"(4,1)","(4,1)",-1,-1,0,0,right,
159,160,P01,P01_01,take salt,12:30.4,12:31.5,45023,45091,take,0,salt,31,['salt'],[31],,,,,,,,
160,161,P01,P01_01,open salt,12:31.6,12:33.1,45097,45189,open,2,salt,31,['salt'],[31],,,,,,,,
161,162,P01,P01_01,put down salt,12:32.7,12:34.0,45165,45240,put-down,1,salt,31,['salt'],[31],,,,,,,,
162,163,P01,P01_01,open drawer,12:33.1,12:34.5,45185,45269,open,2,drawer,9,['drawer'],[9],,,,,,,,
163,164,P01,P01_01,take spoon,12:34.9,12:36.7,45297,45402,take,0,spoon,7,['spoon'],[7],,,,,,,,
164,165,P01,P01_01,pour salt onto spoon,12:37.8,12:41.6,45468,45695,pour,7,salt,31,"['salt', 'spoon']","[31, 7]",,,,,,,,
165,166,P01,P01_01,pour salt into water,12:42.2,12:43.6,45729,45819,pour,7,salt,31,"['salt', 'water']","[31, 17]","(4,1)","(3,1)",-1,-1,0,0,right,
166,167,P01,P01_01,stir water,12:42.7,12:44.4,45763,45862,stir,6,water,17,['water'],[17],"(4,1)","(4,1)",-1,-1,0,0,right,
167,168,P01,P01_01,close salt,12:44.9,12:45.8,45894,45945,close,3,salt,31,['salt'],[31],,,,,,,,
168,169,P01,P01_01,put down spoon,12:46.1,12:46.8,45966,46006,put-down,1,spoon,7,['spoon'],[7],,,,,,,,
169,170,P01,P01_01,put down salt,12:47.5,12:49.4,46050,46164,put-down,1,salt,31,['salt'],[31],,,,,,,,
170,171,P01,P01_01,take spatula,12:49.5,12:50.3,46172,46216,take,0,spatula,22,['spatula'],[22],,,,,,,,
171,172,P01,P01_01,stir vegetables,12:50.3,12:51.3,46215,46279,stir,6,vegetable,90,['vegetable'],[90],"(4,1)",,-1,-1,0,0,right,
172,173,P01,P01_01,adjust hob,12:51.4,12:52.7,46284,46359,adjust,17,hob,47,['hob'],[47],,,,,,,,
173,174,P01,P01_01,stir vegetables,12:54.7,13:28.3,46483,48495,stir,6,vegetable,90,['vegetable'],[90],"(4,1)","(4,1)",-1,-1,0,0,right,
174,175,P01,P01_01,still stirring vegetables,12:55.7,13:01.6,46540,46897,stir,6,vegetable,90,['vegetable'],[90],"(4,1)","(4,1)",-1,-1,0,0,right,
175,176,P01,P01_01,still stirring vegetables,13:09.3,13:39.7,47359,49179,stir,6,vegetable,90,['vegetable'],[90],"(4,1)","(4,1)",-1,-1,0,0,right,
176,177,P01,P01_01,put down spatula,13:39.5,13:40.9,49172,49252,put-down,1,spatula,22,['spatula'],[22],,,,,,,,
177,178,P01,P01_01,open cupboard,13:41.2,13:42.4,49273,49344,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
178,179,P01,P01_01,take something,13:42.4,13:45.2,49344,49510,take,0,cupboard,8,['cupboard'],[8],,,,,,,,
179,180,P01,P01_01,put down something,13:44.3,13:45.8,49456,49546,put-down,1,cupboard,8,['cupboard'],[8],,,,,,,,
180,181,P01,P01_01,take rice,13:46.9,13:48.6,49614,49716,take,0,rice,44,['rice'],[44],,,,,,,,
181,182,P01,P01_01,open rice,13:49.2,13:55.3,49753,50118,open,2,rice,44,['rice'],[44],,,,,,,,
182,183,P01,P01_01,put down rice,13:59.1,14:00.4,50348,50426,put-down,1,rice,44,['rice'],[44],,,,,,,,
183,184,P01,P01_01,take spatula,14:00.7,14:01.6,50442,50498,take,0,spatula,22,['spatula'],[22],,,,,,,,
184,185,P01,P01_01,stir vegetables,14:01.7,14:07.3,50504,50836,stir,6,vegetable,90,['vegetable'],[90],"(4,1)",,-1,-1,0,0,right,
185,186,P01,P01_01,still stirring vegetables,14:07.4,14:24.1,50842,51846,stir,6,vegetable,90,['vegetable'],[90],"(4,1)","(4,1)",-1,-1,0,0,right,
186,187,P01,P01_01,put down spatula,14:24.3,14:25.3,51855,51918,put-down,1,spatula,22,['spatula'],[22],,,,,,,,
187,188,P01,P01_01,take tofu,14:26.0,14:27.3,51960,52036,take,0,tofu,159,['tofu'],[159],,,,,,,,
188,189,P01,P01_01,take knife,14:29.6,14:31.0,52175,52261,take,0,knife,5,['knife'],[5],,,,,,,,
189,190,P01,P01_01,cut tofu sleeve,14:30.9,14:35.1,52252,52506,cut,5,tofu,159,['tofu'],[159],,,,,,,,
190,191,P01,P01_01,open tofu container,14:35.5,14:45.1,52528,53104,open,2,container:tofu,29,['container:tofu'],[29],,,,,,,,
191,192,P01,P01_01,pour tofu onto pan,14:45.9,14:49.2,53155,53350,pour,7,tofu,159,"['tofu', 'pan']","[159, 1]","(5,1)",,0,0,0,0,both,
192,193,P01,P01_01,put down tofu container,14:49.5,14:50.9,53371,53455,put-down,1,container:tofu,29,['container:tofu'],[29],,,,,,,,
193,194,P01,P01_01,stir vegetables and tofu,14:50.9,15:04.3,53452,54256,stir,6,vegetable,90,"['vegetable', 'tofu']","[90, 159]","(4,1)","(5,1)",-1,-1,0,0,right,
194,195,P01,P01_01,put down spatula,15:04.2,15:05.2,54250,54310,put-down,1,spatula,22,['spatula'],[22],,,,,,,,
195,196,P01,P01_01,take tofu container,15:05.3,15:08.2,54316,54491,take,0,container:tofu,29,['container:tofu'],[29],,,,,,,,
