,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,start,sequence,class
36,cup,glass,knife,spoon,plate,bottle,fork,bowl,center,"('plate', 'knife', 'fork', 'spoon', 'bowl', 'bottle', 'glass', 'cup')",55
37,bottle,cup,glass,spoon,fork,bowl,knife,plate,center,"('plate', 'knife', 'fork', 'spoon', 'bowl', 'glass', 'bottle', 'cup')",46
38,bottle,glass,fork,cup,plate,spoon,knife,bowl,center,"('plate', 'bowl', 'fork', 'knife', 'spoon', 'cup', 'glass', 'bottle')",6
39,plate,fork,glass,bottle,cup,spoon,knife,bowl,left,"('bowl', 'plate', 'knife', 'spoon', 'fork', 'cup', 'glass', 'bottle')",4
40,cup,bottle,fork,spoon,plate,knife,bowl,glass,center,"('plate', 'bottle', 'glass', 'bowl', 'knife', 'fork', 'spoon', 'cup')",44
41,knife,bowl,fork,bottle,spoon,cup,plate,glass,left,"('plate', 'cup', 'glass', 'bottle', 'fork', 'knife', 'spoon', 'bowl')",1
42,bottle,glass,knife,fork,bowl,plate,spoon,cup,left,"('plate', 'cup', 'spoon', 'bowl', 'fork', 'knife', 'glass', 'bottle')",47
43,bottle,fork,cup,glass,knife,bowl,spoon,plate,left,"('plate', 'bowl', 'spoon', 'knife', 'fork', 'glass', 'cup', 'bottle')",5
44,plate,spoon,cup,glass,fork,bowl,bottle,knife,center,"('plate', 'spoon', 'cup', 'glass', 'fork', 'bowl', 'bottle', 'knfie')",56
45,bottle,spoon,glass,fork,plate,knife,cup,bowl,center,"('plate', 'fork', 'knife', 'cup', 'bowl', 'glass', 'spoon', 'bottle')",52
46,bottle,plate,spoon,glass,fork,knife,cup,bowl,center,"('plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bowl', 'bottle')",45
47,plate,glass,fork,cup,spoon,bottle,knife,bowl,left,"('plate', 'cup', 'fork', 'knife', 'spoon', 'bottle', 'glass', 'bowl')",10
48,glass,knife,plate,bowl,fork,spoon,cup,bottle,center,"('plate', 'bowl', 'cup', 'fork', 'spoon', 'knife', 'glass', 'bottle')",9
49,spoon,cup,plate,bowl,knife,fork,glass,bottle,center,"('plate', 'bowl', 'fork', 'knife', 'cup', 'spoon', 'glass', 'bottle')",34
50,bottle,glass,spoon,plate,cup,fork,bowl,knife,center,"('plate', 'cup', 'spoon', 'fork', 'knife', 'bowl', 'glass', 'bottle')",39
51,cup,glass,spoon,bottle,knife,plate,fork,bowl,center,"('plate', 'knife', 'fork', 'spoon', 'bottle', 'bowl', 'glass', 'cup')",35
52,cup,fork,glass,spoon,plate,bottle,bowl,knife,center,"('plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bowl', 'bottle')",45
53,bottle,glass,cup,fork,spoon,plate,knife,bowl,left,"('plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bowl', 'bottle')",45
54,cup,bowl,glass,fork,spoon,knife,plate,bottle,left,"('plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bottle', 'bowl')",21
55,bowl,knife,glass,fork,bottle,spoon,cup,plate,left,"('plate', 'knife', 'fork', 'bowl', 'spoon', 'cup', 'bottle', 'glass')",50
56,bowl,plate,knife,bottle,cup,fork,spoon,glass,center,"('plate', 'knife', 'bowl', 'spoon', 'fork', 'glass', 'cup', 'bottle')",51
57,cup,bowl,fork,bottle,spoon,glass,plate,knife,center,"('plate', 'knife', 'fork', 'bowl', 'spoon', 'cup', 'glass', 'bottle')",41
58,cup,glass,fork,bowl,spoon,knife,bottle,plate,center,"('plate', 'knife', 'fork', 'spoon', 'bowl', 'glass', 'bottle', 'cup')",46
59,bowl,bottle,spoon,knife,fork,plate,glass,cup,center,"('plate', 'knife', 'fork', 'spoon', 'bottle', 'glass', 'bowl', 'cup')",18
60,glass,bottle,knife,plate,cup,fork,spoon,bowl,center,"('plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bottle', 'bowl')",21
61,plate,knife,spoon,glass,bowl,fork,cup,bottle,right,"('plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bowl', 'bottle')",45
62,bottle,fork,glass,knife,bowl,spoon,cup,plate,center,"('plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bottle', 'bowl')",21
63,glass,knife,cup,fork,bottle,spoon,plate,bowl,center,"('plate', 'knife', 'fork', 'spoon', 'bottle', 'cup', 'glass', 'bowl')",53
64,glass,cup,spoon,bottle,plate,knife,bowl,fork,center,"('plate', 'knife', 'fork', 'spoon', 'bowl', 'cup', 'glass', 'bottle')",11
65,plate,knife,glass,fork,bowl,cup,bottle,spoon,center,"('plate', 'fork', 'spoon', 'knife', 'bowl', 'cup', 'glass', 'bottle')",31
66,fork,spoon,bottle,plate,glass,cup,knife,bowl,center,"('plate', 'bowl', 'knife', 'fork', 'spoon', 'cup', 'glass', 'bottle')",58
67,bottle,fork,glass,cup,knife,spoon,bowl,plate,center,"('plate', 'fork', 'spoon', 'knife', 'bowl', 'glass', 'cup', 'bottle')",20
