,from_node,to_node,weight,obj_at_once,weight_new,dist
116,pc,pct,7.6,1,8.653323061113573,7.211102550927978
117,pc,pcn,7.6,1,8.653323061113573,7.211102550927978
118,ps,pcs,6.8,1,7.58946638440411,6.324555320336759
119,ps,pst,7.6,1,7.102034058679311,7.211102550927978
120,ps,psn,7.6,1,7.102034058679311,7.211102550927978
121,pt,pct,6.8,1,7.58946638440411,6.324555320336759
122,pt,pst,6.8,1,6.31114621836948,6.324555320336759
123,pt,ptn,7.6,1,7.102034058679311,7.211102550927978
124,pn,pcn,6.8,1,7.58946638440411,6.324555320336759
125,pn,psn,6.8,1,6.31114621836948,6.324555320336759
126,pn,ptn,7.6,1,7.102034058679311,7.211102550927978
127,cs,pcs,6.8,1,7.58946638440411,6.324555320336759
128,cs,cst,7.6,1,8.653323061113573,7.211102550927978
129,cs,csn,7.6,1,8.653323061113573,7.211102550927978
130,ct,pct,6.8,1,7.58946638440411,6.324555320336759
131,ct,cst,6.8,1,7.58946638440411,6.324555320336759
132,ct,ctn,7.6,1,8.653323061113573,7.211102550927978
133,cn,pcn,6.8,1,7.58946638440411,6.324555320336759
134,cn,csn,6.8,1,7.58946638440411,6.324555320336759
135,cn,ctn,7.6,1,8.653323061113573,7.211102550927978
136,st,pst,6.8,1,6.31114621836948,6.324555320336759
137,st,cst,6.8,1,7.58946638440411,6.324555320336759
138,st,stn,7.6,1,8.653323061113573,7.211102550927978
139,sn,psn,6.8,1,6.31114621836948,6.324555320336759
140,sn,csn,6.8,1,7.58946638440411,6.324555320336759
141,sn,stn,7.6,1,8.653323061113573,7.211102550927978
142,tn,ptn,6.8,1,6.31114621836948,6.324555320336759
143,tn,stn,6.8,1,7.58946638440411,6.324555320336759
144,tn,ctn,6.8,1,7.58946638440411,6.324555320336759
145,pcs,pcstn,7.6,2,8.653323061113573,7.211102550927978
146,pct,pcstn,8.2,2,9.321394722758843,7.7678289356323695
147,pcn,pcstn,8.2,2,9.321394722758843,7.7678289356323695
148,pst,pcstn,10.2,2,11.721394722758843,9.76782893563237
149,psn,pcstn,10.2,2,11.721394722758843,9.76782893563237
150,ptn,pcstn,8.8,2,9.989466384404112,8.32455532033676
151,cst,pcstn,10.2,2,11.721394722758843,9.76782893563237
152,csn,pcstn,10.2,2,11.721394722758843,9.76782893563237
153,stn,pcstn,6.8,2,7.58946638440411,6.324555320336759
154,ctn,pcstn,8.8,2,9.989466384404112,8.32455532033676
155,pcst,pcstn,7.6,1,8.653323061113573,7.211102550927978
156,pcsn,pcstn,7.6,1,8.653323061113573,7.211102550927978
157,cstn,pcstn,6.8,1,7.58946638440411,6.324555320336759
158,pctn,pcstn,6.8,1,7.58946638440411,6.324555320336759
159,pstn,pcstn,6.8,1,7.58946638440411,6.324555320336759
