ID,objects
P02_123,"['glove', 'knife', 'pan', 'scissors', 'lemon', 'half:lemon', 'bottle:water', 'squeezer', 'half:second:lemon', 'peel:lemon', 'doritos', 'bag:sugar', 'glass', 'spoon:wooden', 'bag:pistachio', 'board:chopping', 'glove:second', 'mould:cake', 'cloth:cleaning', 'apron', 'tray', 'tray:second', 'mug', 'plate', 'piece:juicer', 'piece:food:processor', 'sponge', 'spatula', 'liquid:washing', 'fork', 'piece:hand:blender', 'bowl', 'spoon', 'infuser:tea', 'blender', 'cover:blender', 'cover:plastic', 'grater', 'cutlery']"
P02_126,"['lid', 'bag:glove', 'glove', 'plate', 'pan', 'yoghurt', 'spoon']"
P02_129,"['lid:pan', 'pan', 'kettle', 'bag:spaghetti', 'spaghetti', 'bag', 'garlic', 'knife', 'presser:garlic', 'bottle:oil', 'box:cherry:tomato', 'board:chopping', 'jar:spice', 'salt', 'lid', 'bottle:vegetable:oil', 'bag:flour', 'plate', 'box:tomato', 'jar:pesto:sauce', 'spoon', 'mould:cake', 'glass', 'mug', 'cutlery', 'sponge', 'bottle:washing:liquid', 'glove', 'cover:squeezer', 'fork', 'brush', 'drainer:sink', 'sponge:cleaning', 'dirt', 'blade:chopping', 'blender', 'biscuit', 'cover:food:processor', 'cheese:parmesan', 'grater', 'parmesan', 'cheese', 'clip']"
P02_130,"['filter:water', 'glass', 'pan', 'sponge', 'bowl', 'spoon', 'bowl:food:processor', 'packaging:biscuit', 'ladder', 'biscuit', 'tin:cocoa:powder', 'tin:condensed:milk', 'blade:food:processor:chopping', 'cover:food:processor', 'blade:chopping', 'apron', 'tray:oven', 'butter', 'knife', 'spoon:wooden', 'opener:can', 'powder:cocoa', 'lid', 'paper:foil', 'bag:plastic', 'cover:plastic']"
P02_132,"['pan', 'tupperware', 'pie', 'lid', 'lid:tupperware', 'paper:foiled', 'board:chopping', 'knife', 'cylinder:paper', 'piece:chocolate', 'crumbles:chocolate', 'paper:foil']"
P02_133,"['lid:pan', 'plate', 'yoghurt', 'spoon', 'lid', 'pan']"
P02_135,"['mug', 'capsule:coffee', 'bag', 'mesh:orange', 'orange', 'milk', 'stirrer:wooden', 'half:bagel', 'knife', 'jar:jam', 'plate', 'glass', 'filter:water', 'bagel', 'lid', 'mug:coffee']"
P03_111,"['chilli', 'saucepan', 'liquid:washing:up', 'spoon', 'clothes', 'lid']"
P03_112,"['kettle', 'pan', 'jug:measuring', 'mug', 'container:rice', 'salt', 'rice', 'scissors', 'lid:saucepan', 'lid', 'sieve', 'plate', 'grater:cheese', 'bowl', 'glass', 'knife', 'ladle', 'cutlery', 'cheese', 'bag:cheese', 'bag:sweetcorn', 'spoon', 'brush', 'bottom:springform:tin', 'dust', 'dustpan', 'saucepan']"
P03_113,"['plate', 'lid', 'saucepan', 'liquid:washing:up', 'bowl:cheese', 'knife', 'fork']"
P03_120,"['egg', 'drawer:vegetable', 'lemon', 'blueberry', 'margarine', 'butter', 'tupperware:sugar', 'juicer', 'saucepan:large', 'bowl:large', 'tupperware:butter', 'scale', 'bowl', 'lid', 'tray', 'knife:paring', 'slice:butter', 'lid:tupperware', 'grater', 'knife:chef', 'towel:tea', 'half:lemon', 'cup:measuring', 'fork', 'eggshell', 'rind:lemon', 'carton:egg', 'spoon']"
P03_121,"['spoon', 'knife:paring', 'grater', 'bowl:sugar', 'bowl:lemon:zest', 'juicer', 'fork', 'jug:measuring']"
P03_123,"['spoon', 'ladle', 'mitt:oven', 'tray:baking', 'jar:clip:top', 'serviette', 'seal:clip:top:jar']"
P04_106,"['towel:tea', 'bowl', 'board:chopping', 'dough', 'glove:oven', 'teaspoon', 'chunk:pork:belly', 'roll:kitchen', 'foil', 'dish:oven']"
P04_107,"['towel:tea', 'dough', 'flour', 'knife', 'tray:baking', 'paper:greaseproof', 'scissors', 'ball:dough', 'chopstick', 'ramekin', 'oil', 'brush:pastry', 'pin:rolling', 'square:greaseproof:paper', 'square:paper', 'paper', 'side:dough', 'edge:dough', 'dish:oven', 'spoon']"
P04_108,"['dish:oven', 'pan', 'glove:oven', 'bowl', 'cooker:rice', 'plug:rice:cooker', 'bowl:rice:cooker', 'lid:rice:cooker', 'sponge', 'towel:tea', 'tray:steamer', 'dough', 'stick:cocktail', 'wrapper:oil', 'packet:yeast', 'film:plastic', 'board:chopping', 'package:carrot', 'bag', 'cucumber', 'broccoli']"
P04_109,"['knife', 'bag:carrot', 'jug:measuring', 'carrot', 'slice:carrot', 'bit:carrot', 'piece:carrot', 'cucumber', 'handful:carrot', 'piece:cucumber', 'bit:cucumber', 'lid:steamer', 'vinegar:rice', 'sugar', 'clip', 'bag:sugar', 'foil', 'teaspoon', 'broccoli', 'pan', 'sponge', 'liquid:washing:up', 'towel:tea', 'starter', 'yoghurt', 'sauce:spicy:bean', 'oil:sesame', 'floret:broccoli', 'plastic', 'chunk:carrot', 'tofu', 'lid:rice:cooker', 'dough', 'roll:kitchen', 'ramekin', 'packet', 'peanut', 'packet:peanut', 'band:rubber', 'ramekin:peanut', 'packet:coriander', 'coriander', 'stalk:coriander', 'piece:coriander', 'block:tofu', 'piece:tofu', 'bag:coriander', 'spatula']"
P04_110,"['spatula', 'lid', 'lid:rice:cooker', 'dish:oven', 'mug', 'egg', 'gochujang', 'teaspoon', 'oil:sesame', 'sauce:soy', 'sugar', 'vinegar:rice', 'sauce:spicy:bean', 'spoon', 'plate', 'tray:baking', 'dough', 'bun:steamed', 'towel:tea', 'pin:rolling', 'pan', 'piece:tofu', 'piece:broccoli', 'peanut', 'jug:measuring', 'ramekin:peanut', 'ramekin:coriander', 'knife', 'board:chopping', 'sponge', 'packet:coriander', 'bowl', 'kitchen', 'ball:dough', 'roll:kitchen', 'bao']"
P04_111,"['spatula', 'lid:rice:cooker', 'knife', 'dish:oven', 'plate', 'scissors', 'belly:pork']"
P04_112,"['plate', 'fork', 'jug:measuring', 'bun:bao', 'tupperware', 'spoon', 'oil:truffle', 'lid:tupperware', 'cutlery', 'piece:tofu', 'towel:tea', 'bowl', 'flour', 'phone', 'ball:flour', 'ball:dough', 'dough', 'box:cling:film', 'roll:cling:film', 'cheese', 'carton:egg', 'puree:tomato', 'mayonnaise', 'film:cling']"
P04_113,"['tray:baking', 'towel:tea', 'board:chopping', 'spatula', 'knife', 'lid:tupperware', 'pot:tupperware', 'tupperware', 'mug', 'film:cling', 'pan:cast:iron', 'bowl', 'saucepan', 'mug:glass', 'grater:cheese', 'bowl:plate', 'pan:frying', 'spoon:measuring', 'tub:tupperware', 'colander', 'glass', 'tray:cutlery', 'spoon', 'teaspoon', 'press:garlic', 'fork', 'ramekin', 'plate', 'scissors', 'pan', 'bowl:rice:cooker', 'plug', 'lid:rice:cooker', 'pin:rolling', 'packet:tofu', 'rubbish', 'dish:oven', 'chopstick', 'jar:spicy:bean:paste', 'lid:saucepan', 'jar', 'brush', 'liquid:washing:up', 'sauce:soy', 'packet:coriander', 'lid:jar', 'sponge', 'flour', 'bag:flour', 'skin:garlic', 'packet:peanut', 'scraper', 'dustpan', 'kettle', 'sheath', 'glove:oven', 'bowl:dough']"
P04_115,"['glove:oven', 'tray:baking', 'pan:frying', 'pan:cast:iron', 'knife', 'stick:cocktail', 'saucepan', 'butter', 'lid', 'spoon', 'egg', 'bowl', 'eggshell', 'carton:egg', 'fork', 'bun:bao', 'lid:rice:cooker']"
P04_116,"['bowl', 'spatula', 'fork', 'yoghurt:greek', 'teaspoon', 'cutlery', 'pepper', 'salt', 'iron:cast', 'loaf:bread', 'towel:tea', 'pan', 'butter', 'tray:baking', 'bowl:plate', 'yoghurt', 'lid', 'spoon', 'glove:oven', 'pan:cast:iron', 'board:chopping', 'knife', 'bread', 'knife:bread', 'end:bread', 'slice:bread']"
P04_117,"['towel:tea', 'knife:bread', 'slice:bread', 'knife', 'spatula', 'lid:yoghurt', 'pepper', 'lid', 'loaf:bread', 'bread', 'tub:butter', 'saucepan']"
P04_119,"['glove:rubber', 'towel:tea', 'instruction', 'knife', 'tablet:rennet', 'chunk:rennet:tablet', 'crumb:rennet:tablet', 'tablet', 'kettle', 'ramekin', 'lead:kettle', 'plug:kettle', 'bottle:milk', 'sausage:corn', 'sausage:quorn:cocktail', 'bite', 'spoon', 'packet', 'portion:rennet:tablet', 'bag', 'spoon:measuring', 'saucepan', 'pan', 'wok', 'lid:milk:bottle', 'spatula', 'teaspoon', 'thermometer', 'lid']"
P04_120,"['spatula', 'spoon', 'teaspoon', 'thermometer', 'bottle:water', 'instruction', 'packet:tablet', 'bottle:milk', 'top', 'towel:tea', 'knife', 'bowl:plate', 'ramekin', 'sponge', 'saucepan', 'lid:saucepan', 'bowl', 'pin:rolling', 'plate', 'tray:baking', 'board:chopping', 'scourer', 'pan', 'dish:oven', 'holder:cutlery', 'fork', 'brush:pastry', 'tablespoon', 'chopstick', 'scissors', 'spoon:measuring']"
P04_121,"['spatula', 'knife', 'curd:cheese', 'thermometer', 'ramekin', 'tablespoon', 'tray:baking', 'board:chopping', 'sponge', 'liquid:washing:up', 'towel:tea', 'bowl:rice:cooker', 'steamer', 'tray:steamer', 'lid:rice:cooker', 'spoon', 'box', 'cooker:rice', 'kettle', 'stand:kettle', 'bottle:milk', 'bottle:oil', 'bottle:water', 'mug', 'bowl', 'scourer', 'water', 'spatula:sieve', 'glove:rubber', 'case:thermometer', 'cheese', 'instruction', 'bag', 'booklet:instruction', 'teaspoon', 'ball:mozzarella', 'tray:ice:cube', 'cube:ice', 'pan']"
P06_101,"['pepper', 'onion', 'vegetable', 'potato:sweet', 'garlic', 'board:chopping', 'knife', 'sharpener:knife', 'spoon', 'pan', 'lid', 'oil:olive', 'sticker', 'chilli', 'bag', 'rubbish', 'salt', 'tomato:chopped', 'colander', 'can', 'opener:can', 'chocolate', 'spice', 'stock', 'cube:stock', 'tray', 'packet', 'oil', 'liquid:washing:up', 'recycling', 'bin:food:recycling', 'bin:recycling', 'pot', 'towel']"
P06_102,"['bowl', 'sieve', 'spoon', 'lid', 'flour', 'scale', 'salt', 'yeast', 'knife', 'kettle', 'dough', 'sponge', 'rubbish', 'towel', 'film:cling']"
P06_103,"['glove:oven', 'spoon', 'lid', 'pan', 'board:chopping', 'fork', 'potato:sweet', 'kettle', 'rice', 'colander', 'sieve', 'bowl', 'cup', 'glass', 'salt', 'cutlery', 'plate', 'knife', 'wrap', 'cheese']"
P06_104,"['spoon', 'lid', 'rice', 'glove:oven', 'pan', 'fork', 'potato:sweet', 'kettle']"
P06_105,"['glove:oven', 'lid', 'spoon', 'cheese', 'cup']"
P06_106,"['fork', 'lid', 'pan', 'kettle', 'colander', 'spoon', 'plate', 'cheese', 'grater:cheese', 'packet:cheese']"
P06_108,"['olive', 'pan', 'dough', 'flour', 'spoon', 'tomato:chopped', 'mozzarella', 'knife', 'lid', 'tuna', 'opener:can', 'fork', 'towel', 'foil:silver', 'phone', 'packet', 'bowl', 'liquid:washing:up']"
P06_110,"['pizza', 'board:chopping', 'pan', 'knife']"
P07_101,"['pan', 'bag', 'ham', 'maker:coffee', 'roll:paper', 'board:cutting', 'cheese', 'knife', 'omelette', 'spoon', 'chorizo', 'plate', 'tray']"
P07_103,"['plate', 'towel', 'glove', 'rack:oven', 'tray']"
P07_113,"['cup', 'jug', 'glass', 'pot', 'container', 'cloth', 'bag', 'grain:rice', 'onion', 'board:cutting', 'soap', 'jar', 'garlic', 'knife', 'spoon', 'lid', 'plug', 'container:salt', 'peel', 'colander']"
P07_114,"['lid', 'vegetable', 'pot', 'jug', 'bag', 'colander', 'broccoli']"
P07_115,"['spoon', 'sponge', 'bottle', 'lid', 'knife', 'board:cutting', 'lighter', 'roll:paper', 'jug', 'pot', 'colander', 'glove', 'cloth', 'container', 'fork']"
P07_116,"['fork', 'lid', 'pot', 'plate', 'container', 'spoon', 'knife']"
P09_103,"['bottle:oil', 'condiment', 'breast:chicken', 'chicken', 'knife', 'spoon', 'trash', 'powder:garlic', 'pepper']"
P09_104,"['jug', 'pan', 'sponge', 'towel', 'banana', 'strawberry', 'chorizo', 'honey', 'milk', 'milk:soy', 'plate', 'cheese', 'bottle:oil', 'egg', 'shell']"
P09_106,"['plate', 'spoon', 'pot', 'rice', 'lid', 'juice', 'cup', 'fork', 'food']"
P11_101,"['pot', 'machine:sous:vide', 'salmon', 'jug:measuring', 'packaging']"
P11_102,"['pot', 'kettle', 'leek', 'kale', 'board:chopping', 'knife', 'sharpener:knife', 'lid', 'skin:leaf', 'cylinder:measuring']"
P11_103,"['lid', 'knife', 'board:chopping', 'kale', 'block:chopping', 'bowl', 'packaging', 'fork', 'sponge', 'pan', 'rag:dish']"
P11_104,"['colander', 'lid', 'pot', 'kale', 'sponge', 'salmon', 'oil:olive', 'bowl', 'spatula', 'skin:fish', 'brush', 'pan', 'fork', 'sauce:black:bean', 'sauce:soy', 'towel:paper', 'vegetable', 'rubbish', 'spoon']"
P11_105,"['pizza', 'tray:oven', 'box:pizza', 'knife', 'packaging:pizza', 'sharpener:knife', 'board:chopping', 'tomato', 'mushroom', 'onion', 'slicer']"
P11_107,"['plate', 'tray', 'scissors', 'fork', 'paper:tissue', 'pizza']"
P12_101,"['knife', 'trash', 'meat', 'onion', 'stock', 'cheese', 'saucepan', 'oil', 'salt', 'tea', 'spice', 'fork', 'box:meat', 'box', 'bin:trash', 'bag:plastic', 'cloth', 'lid:saucepan', 'spoon', 'container:salt', 'meat:minced', 'mug', 'container:spice', 'container:oil', 'container:pepper', 'plate', 'container:stock', 'box:stock:container', 'boiler:water', 'onion:chopped', 'grinder', 'pan:frying', 'grinder:cheese', 'soup', 'cheese:grated', 'cheese:cream', 'mozzarella', 'bag:mozzarella', 'container:cream:cheese', 'roll:paper', 'paper']"
P12_103,"['spoon', 'fork', 'trash', 'roll:paper', 'paper', 'jar:jam', 'jam', 'lid:jar', 'package:cracker', 'cracker', 'plate', 'piece:paper', 'cutlery', 'tomato', 'pan:frying', 'bowl:soup']"
P12_104,"['spoon', 'soup', 'fork', 'pan:frying', 'food', 'vegetable', 'tomato', 'spice', 'salt', 'spinach', 'stock', 'cracker', 'trash', 'board:cutting', 'roll:paper', 'paper', 'knife', 'grater', 'liquid:washing:up', 'brush:dish', 'cooker:water', 'bag:plastic', 'spoon:soup', 'cutlery', 'bowl', 'lid:saucepan', 'plate', 'paper:toilet', 'mug']"
P22_111,"['glass', 'cutlery', 'egg', 'tomato', 'jar', 'package', 'pan', 'lid', 'lighter', 'oil', 'can:tin', 'fork', 'spoon', 'bowl', 'shell:egg', 'cloth', 'salt', 'pepper', 'board:cutting', 'foil:aluminium', 'knife', 'caper', 'olive', 'clip', 'stone:olive', 'liquid:washing:up', 'spatula', 'sponge', 'mat:place', 'plate', 'bag', 'degreaser', 'paper', 'omelette']"
P22_112,"['spoon', 'courgette', 'lid', 'container', 'cutlery', 'board:cutting', 'bottle:water', 'glass', 'plate', 'mat:place', 'ladle', 'sponge', 'pan', 'cloth', 'wine', 'jar', 'salt', 'bowl']"
P22_113,"['glass', 'cloth', 'plate', 'cutlery', 'lid', 'pot', 'rest:spoon', 'sponge', 'oil', 'bread', 'clip', 'egg', 'fork', 'spatula', 'salt', 'container', 'board:cutting', 'knife', 'cheese', 'pan', 'spoon', 'rice', 'bowl', 'coffee', 'holder:coffee', 'pod:coffee', 'cup', 'residue:food', 'teaspoon', 'mat:place', 'towel:tea']"
P22_117,"['pan', 'lid', 'plate', 'holder:coffee', 'filter', 'bowl', 'spatula', 'rest:spoon', 'ladle', 'cutlery', 'cloth', 'saucepan', 'container', 'bag', 'sponge', 'spoon', 'board:cutting', 'courgette', 'knife', 'peeler', 'skin:courgette', 'oil', 'onion', 'glass', 'jar', 'salt', 'paper', 'peel', 'scale', 'pepper', 'mat:place', 'fork', 'bottle']"
P23_101,"['pan', 'bowl', 'plate', 'packet', 'vegetable', 'finger:lady', 'knife', 'waste', 'pack', 'onion', 'bag', 'lighter', 'cover', 'chilli:green', 'oil', 'bottle', 'spoon', 'powder:turmeric', 'cap', 'jeera', 'seed:mustard', 'dal:chana', 'dal:urad', 'chilli:red', 'spice', 'brush', 'pack:tomato', 'salt']"
P23_102,"['glass', 'rice', 'water', 'bowl', 'bag', 'lentil', 'plate', 'pad', 'onion', 'mobile', 'knife', 'vegetable', 'lighter', 'chilli:green', 'waste', 'box', 'mango', 'spoon', 'cloth', 'garlic', 'bottle', 'salt', 'cap', 'packet', 'leaf:curry', 'chilli:red', 'powder:turmeric', 'pan', 'seed:cumin', 'seed:mustard', 'leaf', 'brush']"
P25_101,"['lighter', 'oil', 'lid', 'plate', 'fork', 'meat', 'liquid:washing:up', 'paper', 'pan']"
P25_102,"['pan', 'lighter', 'meat', 'fork', 'knife', 'paper', 'jar', 'teaspoon', 'salt', 'plate', 'lid', 'liquid:washing:up', 'sponge', 'soap']"
P25_103,"['pot', 'lid', 'paper', 'plate', 'fork', 'meat', 'spoon', 'jar', 'bottle', 'pan']"
P25_104,"['lighter', 'oil', 'lid', 'paper', 'spoon', 'knife', 'liquid:washing:up', 'sponge', 'teaspoon', 'fork', 'soap', 'pasta', 'sauce', 'bottle', 'salt', 'parmesan', 'tissue', 'colander', 'container']"
P25_106,"['pot', 'pan', 'lid', 'lighter', 'onion', 'knife', 'paper', 'oil', 'spoon', 'cheese', 'egg', 'plate', 'container', 'fork', 'jar', 'bacon', 'parmesan', 'pasta', 'liquid:washing:up', 'teaspoon', 'salt', 'colander', 'package', 'phone']"
P25_107,"['knife', 'plate', 'aubergine', 'paper', 'pan', 'lighter', 'courgette', 'jar', 'fork', 'salt', 'peel', 'soap', 'sponge']"
P26_101,"['cloth', 'rack:oven', 'plate', 'fork', 'tray:baking']"
P26_104,"['tray:baking', 'knife', 'phone', 'pizza', 'paper', 'mozzarella', 'dog:hot', 'bag', 'package:hot:dog', 'oil', 'cloth', 'rack:oven', 'tray', 'towel', 'plate', 'fork', 'napkin', 'bottle:water', 'bag:mozzarella']"
P26_105,"['pot', 'lighter', 'lid', 'spoon', 'plate', 'tray:baking', 'food:frozen', 'jar', 'pancake:crispy', 'package:fish:finger', 'finger:fish', 'tray', 'cloth:table', 'towel', 'knife', 'fork']"
P26_106,"['plate', 'salt', 'spoon', 'lid', 'cheese']"
P26_107,"['pot', 'cloth', 'tray:baking', 'spatula', 'fork', 'spoon', 'pasta', 'lid']"
P26_108,"['package:pasta', 'spoon', 'lid', 'plate', 'scale']"
P26_110,"['spoon', 'pasta', 'pot', 'colander', 'cloth', 'ladle', 'tray:baking', 'fork', 'spatula', 'plate']"
P26_113,"['cloth', 'rack:oven', 'spatula', 'tray:baking', 'napkin']"
P26_114,"['cloth', 'tray:baking', 'spatula']"
P26_115,"['tray:baking', 'package:potato', 'oil', 'lid', 'spatula', 'tray', 'towel', 'plate', 'knife', 'fork', 'bread', 'chicken']"
P26_117,"['cloth', 'tray:baking', 'spatula', 'pan', 'knife', 'lighter', 'salt', 'lemon', 'potato', 'chicken', 'plate', 'fork']"
P26_119,"['tray:baking', 'package:crispy:pancake', 'pancake:crispy', 'package:fish:finger', 'oil', 'lid', 'liquid:washing:up', 'cloth', 'tomato', 'onion', 'knife', 'board:cutting', 'skin:onion', 'bag']"
P27_103,"['holder:pot', 'tray:baking', 'grid', 'egg', 'pot:moka', 'container', 'mixer', 'jar:sugar', 'bin', 'whisk', 'book:recipe', 'yogurt', 'butter', 'scale', 'knife', 'beaker', 'mug', 'glass', 'pan', 'pot', 'lighter', 'paper', 'sugar', 'package', 'saucepan', 'flour', 'plate:scale', 'plate', 'bottle', 'bag', 'lid', 'sachet', 'mould:ring:cake', 'spoon', 'soap', 'sponge', 'cloth', 'fork', 'cutlery', 'towel', 'toothpick']"
P28_101,"['bread', 'slice:bread', 'plate', 'board:chopping', 'tomato', 'mozzarella', 'garlic', 'clove:garlic', 'knife', 'trash', 'salt', 'oil', 'scissors', 'package:plastic', 'sponge']"
P28_103,"['sponge', 'board:chopping', 'garlic', 'onion', 'pot', 'carrot', 'tupperware', 'potato', 'peeler', 'rubbish', 'knife', 'plate', 'oil', 'pepper', 'paprika', 'salt', 'tin:chopped:tomato', 'container', 'bean:green', 'spatula', 'vegetable', 'cup', 'kettle', 'glove:oven', 'lid:pot']"
P28_104,"['tupperware', 'lid', 'board:chopping', 'sponge', 'plate', 'package:bread', 'bread', 'fork', 'cheese:feta', 'knife', 'bean:green', 'potato', 'spoon', 'liquid', 'glove:oven', 'spatula', 'container', 'cup', 'ladle', 'oil']"
P28_106,"['pan', 'kettle', 'butter', 'tortellini', 'parmesan', 'sponge', 'grater', 'colander', 'knife', 'dish', 'fork']"
P28_108,"['fork', 'glove:oven', 'pot', 'knife', 'tortellini', 'package', 'grater', 'plate', 'sponge']"
P28_109,"['saucepan', 'oat', 'drink:almond', 'banana', 'powder', 'blueberry', 'spoon', 'cup']"
P28_111,"['pot', 'spoon', 'bowl', 'fork', 'plate', 'cup', 'grater', 'knife', 'colander', 'phone:mobile', 'sponge', 'liquid:dishwashing', 'chopstick', 'utensil', 'saucepan', 'banana', 'skin:banana', 'package:blueberry', 'drink:almond', 'cap']"
P30_107,"['rester:teabag', 'strainer:tea', 'strainer:tea:pot', 'pot:tea', 'rest:teabag', 'mug', 'teapot', 'liquid:washing:up', 'spinner:salad', 'sponge', 'glass', 'plate', 'part:salad:spinner', 'tub', 'towel', 'holder:teabag', 'top:salad:spinner', 'stack:tub', 'towel:tea', 'board:chopping', 'knife', 'choi:pak', 'mushroom', 'onion:spring', 'pepper', 'meat', 'corn:sweet', 'packaging', 'colander', 'vegetable', 'bowl', 'maker:coffee', 'broccoli:tenderstem', 'salad', 'chicken', 'corn', 'piece:mushroom', 'pak', 'stalk', 'bowl:corn', 'piece:corn', 'piece:broccoli', 'bowl:mushroom', 'saucepan', 'roll:kitchen', 'piece:vegetable', 'fat', 'meat:nasty', 'oil:olive', 'oil:sesame', 'clove:garlic', 'bottle', 'soap', 'fork', 'v60', 'jug', 'spoon', 'toaster', 'bottle:oil', 'leaf:pak:choi', 'pan', 'lid', 'rubbish', 'piece:meat', 'floor', 'tupperware', 'plant:basil', 'strainer:sink', 'toothbrush', 'item:fridge', 'egg', 'bottle:soy:sauce', 'cellar:salt', 'lid:saucepan', 'jug:water']"
P30_111,"['teapot', 'strainer:teapot', 'rest:teabag', 'water:tonic', 'cheese', 'radish', 'hummus', 'butter', 'base:pizza', 'passata', 'plate', 'mug', 'glass', 'bowl:washing:up', 'lid:hummus:tub', 'saucepan', 'sponge', 'oil:olive', 'garlic', 'spoon', 'jug', 'onion', 'knife', 'piece:garlic', 'board:chopping', 'jug:water', 'bottle:passata', 'lid', 'packaging:iron', 'cellar:pepper', 'cellar:salt', 'jar:herb', 'piece:onion:skin', 'pan:grill', 'packet:cheese', 'scissors', 'packaging', 'bottle:tonic:water', 'packet:salami', 'box:scotch:egg', 'egg:scotch', 'lid:scotch:egg:box', 'bowl:salad', 'piece:scotch:egg', 'liquid:washing:up', 'v60', 'container', 'lid:container', 'pepper', 'top:pepper', 'piece:pepper', 'pan', 'bag:cheese', 'salami', 'packaging:salami', 'piece:salami', 'piece:onion', 'flake:chilli', 'tray:pizza', 'gin', 'tray:ice:cube', 'cube:ice', 'bottle:gin', 'drink', 'plastic', 'dustpan']"
P30_112,"['mitt:oven', 'board:chopping', 'knife', 'cellar:pepper', 'plate', 'piece:pizza', 'topping']"
P35_101,"['pot', 'pasta', 'scissors', 'scale', 'plate', 'rubbish', 'bag', 'saucepan', 'glass', 'towel']"
P35_103,"['mixer', 'pot', 'spoon', 'salt', 'cloth', 'container', 'pasta', 'lid', 'cheese', 'grater', 'cream', 'jar', 'rest:pot', 'sponge', 'soap', 'colander', 'saucepan', 'pan', 'hoover:hand:held', 'bag', 'rack:drying']"
P35_104,"['food', 'sponge', 'plate', 'container', 'glass', 'cloth', 'pan', 'pot', 'scale', 'pasta', 'bag', 'soap', 'spoon', 'salt', 'lid', 'roll:kitchen', 'mug', 'board:cutting', 'colander', 'rest:pot', 'jar', 'pesto', 'package', 'scissors', 'meat', 'film:cling', 'rack:drying', 'paper', 'tissue', 'napkin', 'hoover:hand:held']"
P35_105,"['saucepan', 'cloth', 'container', 'mushroom', 'clip', 'food', 'meat', 'lid', 'fork', 'salt', 'spice', 'plate', 'flour', 'knife', 'hoover:hand:held', 'colander', 'mug', 'sieve', 'glass', 'bottle', 'pan', 'spoon', 'pot', 'cream', 'oil', 'rest:pot', 'rubbish', 'scissors', 'bag']"
P37_101,"['box:plastic', 'stool', 'pot:cooking', 'pot', 'tray:plastic', 'knife', 'bowl', 'thigh:chicken', 'water', 'bottle:soy:sauce', 'bottle:oil', 'bottle', 'garlic', 'bottle:cooking:wine', 'board:chopping', 'cucumber', 'bag:packing', 'skin:garlic', 'spatula', 'pan', 'coriander', 'cucumber:sliced', 'onion']"
